TAIR,SYMBOL,GENENAME,REFSEQ,ENTREZID,STRING_id,GOSLIM_IDS,Log2fc_.leaf_FLT.v.leaf_GC.,Log2fc_.leaf_FLT.v.root_FLT.,Log2fc_.leaf_FLT.v.root_GC.,Log2fc_.leaf_GC.v.root_FLT.,Log2fc_.leaf_GC.v.root_GC.,Log2fc_.root_FLT.v.root_GC.,Log2fc_.leaf_GC.v.leaf_FLT.,Log2fc_.root_FLT.v.leaf_FLT.,Log2fc_.root_GC.v.leaf_FLT.,Log2fc_.root_FLT.v.leaf_GC.,Log2fc_.root_GC.v.leaf_GC.,Log2fc_.root_GC.v.root_FLT.
AT4G00800,SETH5,NA,NM_001340268,828005,3702.AT4G00800.1,NA,-0.080630201,-0.02990442,-0.238828838,0.050725781,-0.158198637,-0.208924418,0.080630201,0.02990442,0.238828838,-0.050725781,0.158198637,0.208924418
AT4G02080,ASAR1,"A member of ARF-like GTPase family. A thaliana has 21 members, in two subfamilies, ARF and ARF-like (ARL) GTPases.",NM_116440,827368,3702.AT4G02080.1,"GO:0007165, GO:0007166, GO:0007186, NA",-0.18327264,0.072555467,-0.141157137,0.255828108,0.042115503,-0.213712604,0.18327264,-0.072555467,0.141157137,-0.255828108,-0.042115503,0.213712604
AT4G02350,SEC15B,Encodes a member of the exocyst complex gene family. The exocyst is a protein complex involved in tethering vesicles to the plasma membrane during regulated or polarized secretion.,NM_001340371,828060,3702.AT4G02350.1,"GO:0006810, GO:0006886, GO:0006887, GO:0015031, GO:0016192, GO:0051179",-0.151422742,0.090748986,-0.171737446,0.242171728,-0.020314704,-0.262486432,0.151422742,-0.090748986,0.171737446,-0.242171728,0.020314704,0.262486432
AT4G08520,NA,NA,NM_116921,826411,NA,"GO:0005622, GO:0005737, GO:0006810, GO:0006886, GO:0015031, GO:0016192, GO:0030120, NA",-0.2635436,0.114476644,-0.306150689,0.378020244,-0.042607089,-0.420627333,0.2635436,-0.114476644,0.306150689,-0.378020244,0.042607089,0.420627333
AT4G17890,AGD8,"A member of ARF GAP domain (AGD), A thaliana has 15 members, grouped into four classes.",NM_001036581,827512,3702.AT4G17890.1,"GO:0003676, GO:0005083, GO:0005488, GO:0005515, GO:0009987, GO:0030234, GO:0003824, GO:0008152, GO:0050790, GO:0065007, GO:0065009",-0.336467435,-0.055617927,-0.374693977,0.280849508,-0.038226542,-0.31907605,0.336467435,0.055617927,0.374693977,-0.280849508,0.038226542,0.31907605
AT4G23460,NA,NA,NM_001341617,828445,NA,"GO:0006810, GO:0006886, GO:0015031, GO:0016192, GO:0051179",-0.169428931,0.276227514,-0.189597113,0.445656445,-0.020168183,-0.465824627,0.169428931,-0.276227514,0.189597113,-0.445656445,0.020168183,0.465824627
AT4G24840,NA,NA,NM_118617,828587,NA,"GO:0005215, GO:0005622, GO:0005737, GO:0005794, GO:0006810, GO:0006996, GO:0008104, GO:0009987, GO:0015031, GO:0016043, GO:0016192, GO:0032991, GO:0043226, GO:0043234, GO:0044464, GO:0051179, GO:0071840",-0.412401796,-0.028178112,-0.462923683,0.384223684,-0.050521886,-0.434745571,0.412401796,0.028178112,0.462923683,-0.384223684,0.050521886,0.434745571
AT4G28540,CKL6,NA,NM_118996,828972,3702.AT4G28540.1,"GO:0003824, GO:0004672, GO:0005622, GO:0005634, GO:0005737, GO:0006464, GO:0006468, GO:0006796, GO:0006810, GO:0006897, GO:0007154, GO:0007165, GO:0007166, GO:0008152, GO:0009653, GO:0009987, GO:0016043, GO:0016192, GO:0016301, GO:0016740, GO:0019538, GO:0032502, GO:0032989, GO:0043226, GO:0044238, GO:0044464, GO:0050789, GO:0050896, GO:0051179, GO:0065007, GO:0071840",-0.764191261,0.103571678,-0.748320945,0.867762939,0.015870316,-0.851892623,0.764191261,-0.103571678,0.748320945,-0.867762939,-0.015870316,0.851892623
AT4G32285,NA,NA,NM_001036693,829362,NA,"GO:0005622, GO:0005737, GO:0006810, GO:0006886, GO:0006897, GO:0006898, GO:0015031, GO:0016192, GO:0030120, GO:0032991, GO:0043234, GO:0044464, GO:0051179",-0.329408595,-0.002018181,-0.329100238,0.327390415,0.000308358,-0.327082057,0.329408595,0.002018181,0.329100238,-0.327390415,-0.000308358,0.327082057
AT4G36630,EMB2754,NA,NM_001342413,829815,3702.AT4G36630.1,NA,-0.338735916,-0.091502818,-0.487297417,0.247233098,-0.148561501,-0.395794599,0.338735916,0.091502818,0.487297417,-0.247233098,0.148561501,0.395794599
AT5G03520,ATRAB-E1D,NA,NM_001036750,831817,3702.AT5G03520.1,"GO:0006810, GO:0006887, GO:0008104, GO:0009987, GO:0015031, GO:0016192, GO:0050789, GO:0051179, GO:0065007, NA",0.055884382,-0.167277458,0.013580319,-0.22316184,-0.042304063,0.180857777,-0.055884382,0.167277458,-0.013580319,0.22316184,0.042304063,-0.180857777
AT5G03540,ATEXO70A1,"AtEXO70A1 is a member of EXO70 gene family, putative exocyst subunits, conserved in land plants. Arabidopsis thaliana contains 23 putative EXO70 genes, which can be classified into nine clusters on the phylogenetic tree",NM_001125690,831809,3702.AT5G03540.3,"GO:0006810, GO:0006886, GO:0015031, GO:0051179",0.026180569,0.233372825,-0.007173573,0.207192256,-0.033354142,-0.240546397,-0.026180569,-0.233372825,0.007173573,-0.207192256,0.033354142,0.240546397
AT5G11490,NA,NA,NM_001203361,831021,NA,"GO:0006810, GO:0006886, GO:0015031, GO:0016192, GO:0051179",-0.071457312,0.078275538,-0.145034101,0.149732849,-0.073576789,-0.223309638,0.071457312,-0.078275538,0.145034101,-0.149732849,0.073576789,0.223309638
AT5G12370,SEC10,NA,NM_001036794,831112,3702.AT5G12370.1,,0.266633249,0.14891196,0.17824759,-0.11772129,-0.088385659,0.02933563,-0.266633249,-0.14891196,-0.17824759,0.11772129,0.088385659,-0.02933563
AT5G13300,AGD3,"Belongs to 15-member small GTPase gene family, ARF-GAP domain proteins (AGD); corresponds to AGD3, and is one of four proteins belonging to class 1, together with AGD1, AGD2 and AGD4. The protein contains four domains: BAR domain, PH domain, an ARF-GAP domain, and two Ankyrin repeats. In sfc mutants, the secondary and tertiary veins of cotyledons, leaves, sepals and petals are largely replaced by small segments of discontinuous veins. sfc mutants have exaggerated responses to auxin.",NM_121333,831171,3702.AT5G13300.1,"GO:0003676, GO:0005083, GO:0005488, GO:0005515, GO:0007154, GO:0007155, GO:0007165, GO:0007166, GO:0007186, GO:0009987, GO:0030234, GO:0003824, GO:0008152, GO:0050790, GO:0065007, GO:0065009",0.026998769,0.034993794,0.006256133,0.007995025,-0.020742636,-0.028737661,-0.026998769,-0.034993794,-0.006256133,-0.007995025,0.020742636,0.028737661
AT5G13530,KEG,"Encodes KEEP ON GOING (KEG), a RING E3 ligase involved in abscisic acid signaling.  KEG is essential for Arabidopsis growth and development.  ABA promotes KEG degradation via the ubiquitin dependent 26S proteasome pathway.",NM_001203374,831197,3702.AT5G13530.1,"GO:0003824, GO:0004672, GO:0005622, GO:0005737, GO:0006464, GO:0006468, GO:0006796, GO:0008152, GO:0009987, GO:0016301, GO:0016740, GO:0019538, GO:0044238, GO:0044464",-0.284792197,-0.11842043,-0.341790101,0.166371767,-0.056997905,-0.223369672,0.284792197,0.11842043,0.341790101,-0.166371767,0.056997905,0.223369672
AT5G16280,NA,NA,NM_001343445,831488,NA,"GO:0005622, GO:0005737, GO:0005794, GO:0006605, GO:0006810, GO:0006886, GO:0006950, GO:0006996, GO:0007154, GO:0008104, GO:0008152, GO:0009056, GO:0009605, GO:0009987, GO:0015031, GO:0016043, GO:0016192, GO:0019538, GO:0032991, GO:0043226, GO:0043234, GO:0044085, GO:0044238, GO:0044464, GO:0050896, GO:0051179, GO:0071840",0.121755546,0.025014011,-0.038930412,-0.096741535,-0.160685958,-0.063944423,-0.121755546,-0.025014011,0.038930412,0.096741535,0.160685958,0.063944423
AT5G39500,ERMO1,"Encodes GNOM-LIKE1/ERMO1, a member of ARF-GEF family.  Required for endoplasmic reticulum (ER) morphology.",NM_001344295,833946,3702.AT5G39500.1,NA,-0.595883224,-0.310144819,-0.743282014,0.285738405,-0.14739879,-0.433137195,0.595883224,0.310144819,0.743282014,-0.285738405,0.14739879,0.433137195
AT5G39510,ATVTI11,Encodes a member of SNARE gene family.  Homologous with yeast VTI1 and is involved in vesicle transport. Mutant alleles such as sgr4/zig are defective in the shoots response to gravity resulting in a zigzag growth pattern of the stem. Involved in protein trafficking to lytic vacuoles. Can conditionally substitute VTI12 in protein storage vacuole trafficking when plants are devoid of VTI12.,NM_123313,833947,3702.AT5G39510.1,"GO:0005484, GO:0005488, GO:0005515, GO:0005622, GO:0005737, GO:0005768, GO:0005783, GO:0005794, GO:0006605, GO:0006810, GO:0006886, GO:0006996, GO:0008104, GO:0009987, GO:0015031, GO:0016020, GO:0016023, GO:0016043, GO:0016192, GO:0031201, GO:0032991, GO:0042175, GO:0043226, GO:0043234, GO:0044464, GO:0051179, GO:0071840",-0.099013702,0.101984225,-0.043211282,0.200997927,0.055802421,-0.145195507,0.099013702,-0.101984225,0.043211282,-0.200997927,-0.055802421,0.145195507
AT5G41950,NA,NA,NM_123560,834200,NA,NA,-0.106219279,0.119016327,-0.168187387,0.225235605,-0.061968108,-0.287203714,0.106219279,-0.119016327,0.168187387,-0.225235605,0.061968108,0.287203714
AT5G46630,AP2M,"clathrin adaptor complexes medium subunit family protein, contains Pfam profile: PF00928 adaptor complexes medium subunit family; similar to micro-adaptins of clathrin coated vesicle adaptor complexes",NM_124033,834706,NA,NA,0.035432661,0.134778541,0.036027923,0.09934588,0.000595262,-0.098750618,-0.035432661,-0.134778541,-0.036027923,-0.09934588,-0.000595262,0.098750618
AT5G49830,EXO84B,Encodes a member of the exocyst complex gene family. The exocyst is a protein complex involved in tethering vesicles to the plasma membrane during regulated or polarized secretion.,NM_001161299,835046,3702.AT5G49830.2,"GO:0005622, GO:0005737, GO:0006461, GO:0006810, GO:0006887, GO:0008104, GO:0009987, GO:0016043, GO:0016192, GO:0032991, GO:0043234, GO:0044085, GO:0044464, GO:0051179, GO:0070271, GO:0071840, GO:0008152, GO:0019538, GO:0044238",-0.010256419,0.154457162,-0.065967413,0.164713582,-0.055710993,-0.220424575,0.010256419,-0.154457162,0.065967413,-0.164713582,0.055710993,0.220424575
AT5G51430,EYE,"Encodes a protein that is homologous to Cog7, a subunit of the conserved oligomeric Golgi (COG) complex, which is required for the normal morphology and function of the Golgi apparatus. It is likely to be involved in transport or retention of Golgi-localized proteins and in maintenance of Golgi morphology.",NM_124522,835217,3702.AT5G51430.1,"GO:0005622, GO:0005737, GO:0005794, GO:0006810, GO:0006996, GO:0009987, GO:0016043, GO:0016192, GO:0032991, GO:0043226, GO:0043234, GO:0044464, GO:0051179, GO:0071840",-0.286073836,0.154892245,-0.381588953,0.440966081,-0.095515117,-0.536481197,0.286073836,-0.154892245,0.381588953,-0.440966081,0.095515117,0.536481197
AT5G58060,ATGP1,member of YKT6 Gene Family,NM_001161313,835918,3702.AT5G58060.2,"GO:0005484, GO:0005488, GO:0005515, GO:0005622, GO:0005737, GO:0006810, GO:0006887, GO:0006996, GO:0009987, GO:0016020, GO:0016043, GO:0016192, GO:0031201, GO:0032991, GO:0043234, GO:0044464, GO:0051179, GO:0071840",-0.12085478,0.207406708,-0.054272052,0.328261488,0.066582728,-0.26167876,0.12085478,-0.207406708,0.054272052,-0.328261488,-0.066582728,0.26167876
AT5G66030,ATGRIP,"Involved in golgi protein trafficking. AtARL1 binds directly to the GRIP domain of AtGRIP in a GTP-dependent manner. Localized to the golgi apparatus, tyrosine 717 in  AtGRIP is crucial for Golgi localization.",NM_001345737,836733,3702.AT5G66030.1,"GO:0000003, GO:0000228, GO:0005622, GO:0005634, GO:0005694, GO:0006139, GO:0006259, GO:0006310, GO:0006807, GO:0007049, GO:0007126, GO:0008152, GO:0009987, GO:0043226, GO:0044238, GO:0044464",-0.116632072,0.124244148,-0.157499415,0.24087622,-0.040867343,-0.281743563,0.116632072,-0.124244148,0.157499415,-0.24087622,0.040867343,0.281743563
